Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
05.01.2025 06:00,35,0.273,2.7
05.01.2025 05:50,35,0.273,2.7
05.01.2025 05:40,35,0.273,2.7
05.01.2025 05:30,35,0.273,2.7
05.01.2025 05:20,35,0.273,2.7
05.01.2025 05:10,35,0.273,2.7
05.01.2025 05:00,35,0.273,2.7
05.01.2025 04:00,35,0.273,2.8
05.01.2025 03:00,35,0.273,2.8
05.01.2025 02:00,35,0.273,2.8
05.01.2025 01:00,35,0.273,2.9
05.01.2025 00:00,35,0.273,2.9
04.01.2025 23:00,35,0.273,3
04.01.2025 22:00,35,0.273,3
04.01.2025 21:00,36,0.301,3.1
04.01.2025 20:00,35,0.273,3.2
04.01.2025 19:00,36,0.301,3.2
04.01.2025 18:00,36,0.301,3.3
04.01.2025 17:00,36,0.301,3.3
04.01.2025 16:00,36,0.301,3.3
04.01.2025 15:00,36,0.301,3.3
04.01.2025 14:00,36,0.301,3.3
04.01.2025 13:00,36,0.301,3.3
04.01.2025 12:00,36,0.301,3.3
04.01.2025 11:00,36,0.301,3.2
04.01.2025 10:00,36,0.301,3.2
04.01.2025 09:00,37,0.331,3.3
04.01.2025 08:00,37,0.331,3.3
04.01.2025 07:00,37,0.331,3.3
04.01.2025 06:00,37,0.331,3.3
